(0.022) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.002) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.538) SHOW FULL TABLES; args=None
(0.490) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.078) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-16 17:00:51.899165' AND `django_session`.`session_key` = 'calkthi975b4jtd8261d01b2jlm9vyyt'); args=('2019-06-16 17:00:51.899165', 'calkthi975b4jtd8261d01b2jlm9vyyt')
(0.182) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-16 17:00:53.696362' AND `django_session`.`session_key` = 'calkthi975b4jtd8261d01b2jlm9vyyt'); args=('2019-06-16 17:00:53.696362', 'calkthi975b4jtd8261d01b2jlm9vyyt')
(0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
